comment
Quality content 
"Election ka time hai kitna sch bolun  Was 
Epic"
"""""Election ka time hai... kitna sch bolu"" 
Love your sense of humor, bro"
Black magic aur bengal punch line was smooth
Bro bro u r very extraordinary person if it comes to ur cinematography
"চলে আসলাম আবার....! 
ভালোবাসা নাও দাদা..."
I love your video and story telling your style big fan from Ethiopia 🇪🇹 east Africa
"wow these shots are epic
1. 5:26
2. 6:50

maja agya bhai aankho ko sukun mila ye dekh kar 
 kasam se"
"Only 3k subs left for 696k subs   
. Keep it up bro . Work hard "
"Hey ani you have earned a loyal fan since now watching every video of yours (specially realated to mobile cinematography and premiere pro) love your work 
️"
The STORYTELLING WAS LITERALLY EPIC!!
Dada 6.25 ka bgm was just awesome it was creating that serious vibe and the music in itself was unique and attractive. All i observed in this videos is you showing what perfection looks like
"""Naa Naa Roshogolla na Misti Doi bole de"" - Dada is Epic"
"I tried again and again and again. I got you. 
 thanks for watching THE FILMMAKER. I was on your path from day 1 thanks for inspiring us
️"
"Thank you man 
This video is very important for my upcoming short film"
I prefer  4:3 frame. It is better than 16:9
Thanks for this extra-ordinary tutorial video. BTW your sense of humor is too good.
"that sarcasm with bangali and black magic
...... you're really a good story teller"
"Isss bande ke jesa koi samja nahi sakta yar ghus jata hain dimag main 
️ aur success de allah main duwa karunga jarur "
"This is the only guy I genuinely want to meet in my life!!! 
 Love From Pakistan! 🇵🇰
️"
A huge fan from Bangladesh who loves your every videos.
"Content ho to aisa.. 
 coolest.."
Zabtdasth Bhai Mae apko Balochistan SE dek rha hoon...
"Hello Ani bhai Respect from Lahore Pakistan, me ap ko bohat saloon say follow kr raha hu aur ap ki video really amazed me in some way, Acha mera comment krnay ka reason hai k hum ap ki bnai hui ek 
 short-film 
 dekhna chahtey hain aghr ap bnaye to bohat aur kuch sikney ko miley ga ap say again Respects from Lahore Pakistan And thanks for Teching us in a really different way "
অপেক্ষা থাকে তোমার ভিডিওর 
anibhaiya 1st shoot ne hi mujhe shook kar diya
"Aa ta ta ..., "
Never bored! 
Mast videos banate ho yaar! Fan of your work
"দারুন, তোমার ভিডিও থেকে কথা শুনতে বেশি ভালো লাগে"
Ya ... Bro ......
Any  bhai no one  can beat you 
Ham frist bhaiya big fan 
darun informative video 
I love Ani thing 
My inspiration 
major content 
I had subscribed you when you have 18k subs… look at now…693k…. You are doing great brother 
I learned so much from your channel!!
"Ani, Pata hi nahi chala kab video khatm ho gaya, Amezing "
Bro deserves millions of likes 
"ভাই কি বাঙালি? 
loves from Bangladesh "
Incredible
"2:19 
 dada: Black Magic 
️"
elite video as usual
Big fan full support bhai 
"Bhai first comment 
 Big fan "
"""না না রসগোল্লা না দই বলে দে"" শুনার পর দাদা আমি নিশ্চিত হলাম আপনি বাঙালি।দাদা আপনার কন্টেন্ট আমার খুব ভালো লাগে।"
Brothers storytelling is perfect and the combination with the background music is hoye hoye ( make next video about photo editing and how to take photo perfectly) that's what I want brother khair Jo bhi ho keep up 
With love from srilanka..
Bhai you are great
Too good
Love from odisha
Me office se aate hi me be like aa gya aa gya anithing bhaiya ka video aa gya gya 
Bro's humour day by day 
Bro your scriptwriting is next-level
Love your content bro 
U r genius
Love u bro..
The call for not speaking on politics is fully acceptable as we that bro is from West bengal
Love from Kanchrapara 
areeh dada 
Love form bangladesh bro🇧🇩🇧🇩
your script! just killer as always 
Perfect lighting but that is expensive 
Really Good
"Love you from West Bengal 
️ dada"
Bigg fann fromm nepall
Big fan
"if photography , videography is your priority, which phone to buy google pixel 8 pro, iphone 14 pro or samsungs s22 ultra"
quality more videos on compositon and thinking how to compose shots for videos would be amazing thanks
Guru 
"Damn! Do I know Hindi 
 how did I understand things that you've mentioned lol. Keep rocking "
Darun
Excellent
Bro big fan 
Nice vedio bro
T shirt is  op 1:16
I love bro
"Are are lage jabe , sabdhane kaj koro dada , tomar kicu hoye gele amra motivation pabo kotha theke ?"
Big fan from siliguri dada
Atatata is back 
hahahah blackmagic part was pretty good 
7:20 baat toh sehi hai
"Gazab ka talant hai bhai , keep it up , 

Ho sake to PIN kar dijiyega"
700k soonnn
""
""
""
Challenge Accepted 
"The next Satyajit Ray 
️"
দাদার বাড়ি নিশ্চই কল্যাণীতে। তুমি যেখানে ভিডিও শুট করো সেখানে আমি প্রায়ই ঘুরতে যেতাম।জায়গাগুলো খুব পরিচিত 
"24fps in smartphone produces jittery videos as clearly seen in your video.

So it is better to shoot in 30 fps or use ND filter with using app"
please make a video on....how to preplan your shorts.....like how u imagine it and execute it...
Love from kalyani 
Mujhe bohat afsos hota hai k itne zabardast content creators k itne kam subscriber hen. Ye banda jitni mehnat karta hai apni videos per utni wo log nahi karte jo 10M le kar bethay huwe hen
Suggest me a story and i will make it with iphone 13 
lens ka link to dia hi nahi ?
BRO you are a BANGALI!!! need replay 
"Bhiya Motorola Edge 50 Fusion par ek Review video plss...Kya Vo cinematography ke liye best rhega...plss make one video on this phone...it's new launched phone by Motorola
️"
Can you please tell us about the app you were using for checking movie colour scheme
Bhai wo nothing 2 fone ..kya wo camera and editing k liye achha h ya nhi ??
""
First view
"""Silhouette""  shoot keise karein ...mobile camera se .... ""light setup "" keise karein ....
Idea do bhai.....love from bhadrak, odisha"
Galaxy s23 vs iPhone 13 which one is good for cinematic videos and editing (content creation)
"Bro Ek camera Giveaway kar do na mai bhi filming and editing karna chahta hoon plz brother , lots of love "
Love from Bihar
"Rosogolla na, misti  doi "
""
Bhiya Motorola Edge 50 Fusion Par Ek Review Video Plszz...It's New Launched...Kya Ye Best Rahega Cinematography k liye?
Iss video mai mic konsa use kiya hai? Hollyland mark m2?
First one to comment
Which app are you using for the reference frames?
Audio recording kaise krte ho Ani bhai? Video shot lene k samay audio recording hota hao kya?
Playstore show my phone is not compitable with filmic pro. Alternate options.?
Bhai mai s21 fe se seekh rha hun but budget lenses konse hai jo jeb na phat jaye
Bhai samaj me kuchh nahi aata hai par majja lagta hai Teri video dekhne me ... Mai bhi isi tarah ka reels banana chahta hu par ban nahi pata is par bhi ek video bana do
First comment
where do you find movie shot inspiration? I mean which app
"Tech Creators be like :- Ye tho Chiting hai filmmaking Sikhate Sikhate Product review kiye ja rahe hai.
 "
Nice
what is that lens ?
Jeo
Brother  please  recommend budget friendly telephoto lens for mobile. . . . And make a video  on it
"Me sabse pehle aaya hu, pyaar do"
"Bohot problem hai,ko sath me shoot karne wala nahi hai,script an location bhi hai but execution nahi ho Raha hai,mic hai but wire waha long distance Tak nahi ja sakta,video ready toh jojati hai but Jo socha tha ,vesa output nahi ata hai,upload karta hu but,bad me lagta hai ki delete kar do "
"I wanna say 
I love you "
First
